GEOID10,votes_dem,votes_gop
55037190100,560.2658829,966.9294596
55037190200,391.7341171,676.0705404
55019950300,774.0717786,927.1807437
55019950700,646.8392909,774.7820698
55019950600,853.6143269,1022.456558
55019950800,564.6275295,676.3090804
55019950200,804.3228596,963.4153935
55019950500,939.0291438,1124.766157
55019950400,709.6547708,850.0222543
55019950100,880.8402998,1055.067743
55031021100,759.2503227,393.4506216
55031990000,0,0
55031020900,806.009647,417.681741
55031020600,1492.934396,773.6525737
55031020500,1039.46987,538.6630132
55031020400,1072.773274,555.9211486
55031020300,965.4623067,500.3116013
55031020800,1169.655903,606.1266333
55031020700,1395.042573,722.9241151
55031030200,1691.072828,876.3297629
55031030300,1704.19235,883.1284223
55031030100,2101.478408,1089.005775
55031021000,657.6581218,340.8045925
55049950600,1195.343606,634.9386583
55049950400,1808.05978,960.3992063
55049950300,1110.548064,589.8972432
55049950500,1625.817748,863.5964875
55049950200,1076.014396,571.5537637
55049950100,1283.216406,681.6146409
55059002300,1604.378463,1250.283069
55059002200,959.6634901,747.8603343
55059002100,1413.361782,1101.424849
55059001800,619.1203538,482.4769928
55059001700,717.9964068,559.5305421
55059001300,1114.30887,868.3746049
55059001200,1098.682682,856.1972048
55059001100,867.253446,675.8457092
55059000900,1145.291829,892.5194501
55059000800,728.5036713,567.7187939
55059002906,1315.832815,1025.421076
55059000700,1489.876221,1161.052119
55059000500,1419.01954,1105.833908
55059000400,975.2896783,760.0377345
55059002700,1486.3738,1158.322702
55059002800,1706.756937,1330.066035
55059002000,1581.478014,1232.436879
55059001900,633.3994568,493.6046171
55059001000,623.1616094,485.6263204
55059000300,1339.810931,1044.107087
55059000100,1554.53631,1211.441361
55059990000,0,0
55059003001,1161.726269,905.3267158
55059003002,1310.175057,1021.012017
55059002903,864.8286926,673.9561126
55059002904,1481.79371,1154.753464
55059002905,1043.721606,813.366349
55059002602,2317.525363,1806.034418
55059002601,2288.158905,1783.149304
55059000602,2131.088772,1660.745436
55059000601,1778.691286,1386.124067
55059002500,937.0324589,730.2240996
55059002400,1271.64842,990.9884273
55059001600,925.7169433,721.4059822
55059001500,1007.080889,784.8124452
55059001400,1924.715321,1499.919772
55047100600,775.4669046,1182.433573
55047100500,611.3416619,932.1750564
55047100400,564.3918954,860.5859535
55047100300,604.5777125,921.8613721
55047100200,596.0233059,908.8175949
55047100100,638.1985198,973.1264501
55015020800,1302.590635,1647.844684
55015020700,969.3261726,1226.247861
55015020308,702.386494,888.5553287
55015020303,908.8604684,1149.75561
55015020304,896.9079455,1134.635049
55015020306,1512.345694,1913.195708
55015020600,1184.237222,1498.12148
55015020500,1196.658471,1513.835004
55015020200,915.8913643,1158.650058
55015020400,801.7564885,1014.263523
55015020100,1086.039044,1373.895693
55061960500,1546.251385,1724.861281
55061990000,0,0
55061960400,2150.381015,2398.774861
55061960200,662.7149315,739.2661612
55061960100,791.6526684,883.0976961
55051180300,575.3460108,576.959432
55051180100,757.6845842,759.8093306
55051180200,449.969405,451.2312373
55051990000,0,0
55057100300,759.2747525,657.3807381
55057100500,1002.542079,868.0018002
55057100600,791.3205446,685.1260126
55057100200,858.2190594,743.0468047
55057100400,1209.085396,1046.827183
55057100700,944.2982673,817.5742574
55057100100,672.259901,582.0432043
55055101702,1140.268432,1330.143286
55055100300,1518.753818,1771.65318
55055100200,880.6462252,1027.289391
55055100100,1394.115909,1626.260856
55055100400,1399.409411,1632.43582
55055101100,1077.227637,1256.605083
55055101202,387.869321,452.4564204
55055101500,952.5897283,1111.21276
55055101400,830.8391846,969.1885979
55055101300,1394.356523,1626.541536
55055100900,930.6938795,1085.670865
55055101701,333.250006,388.7420238
55055100800,963.8985732,1124.404727
55055101600,1666.25003,1943.710119
55055100601,369.3420644,430.844048
55055101000,933.8218579,1089.319707
55055100700,1114.041536,1299.549148
55055100602,793.7846713,925.963853
55055101201,526.9440528,614.6895538
55055100500,1527.897139,1782.319026
55063001200,1333.141751,935.6957728
55063001000,1211.07556,850.0208482
55063001101,680.9504004,477.9404822
55063000800,974.2927127,683.829437
55063000500,1525.188297,1070.487997
55063000600,684.4653954,480.4075612
55063000100,1505.696052,1056.806923
55063010600,1043.633978,732.4981769
55063000400,1756.858424,1233.09093
55063010203,602.9814198,423.2161849
55063010300,1434.117971,1006.568223
55063010800,1055.137598,740.5722535
55063010402,2927.990858,2055.07679
55063001102,1249.42096,876.9344371
55063010500,1840.89876,1292.076545
55063000200,1622.329978,1138.669089
55063000900,1195.737399,839.2554127
55063000700,1415.584361,993.5599888
55063010401,1666.107643,1169.395436
55063010700,1752.384794,1229.951011
55063010101,1778.587484,1248.341963
55063000300,732.3971458,514.0495473
55063010201,3036.636159,2131.331958
55063010102,1469.267922,1031.239013
55063010202,2137.116977,1499.984019
55083101200,971.298991,1178.678492
55083100800,586.4755709,711.6924323
55083100700,693.1500266,841.1426713
55083100500,518.8682953,629.6505045
55083100600,661.5687732,802.8185874
55083100300,644.7254381,782.3790759
55083101300,2055.120818,2493.904275
55083101100,1073.294742,1302.451089
55083101000,921.4707913,1118.211604
55083100900,684.0265534,830.0712693
55083990000,0,0
55093960400,1292.715473,1314.233307
55093960600,1209.306443,1229.435896
55093960700,1213.53914,1233.739048
55093960300,1410.982008,1434.468441
55093960100,707.8563349,719.6389234
55093960800,920.7360979,936.0621663
55093960200,1492.897145,1517.747093
55093960500,1964.967357,1997.675126
55085970602,1061.647286,1109.03953
55085970601,558.8075171,583.7528474
55085971001,342.4762209,357.7644591
55085970101,450.641869,470.7586533
